flat_w,flat_f,spheres_s,spheres_m,spheres_l,cotton_s,cotton_m,cotton_l,jute_s,jute_m,jute_l,sand_s,sand_m,sand_l
0,0,0,0,0,1,0,0,0,0,0,0,19,0
0,0,0,0,0,0,0,0,0,0,0,0,8,14
2,0,8,0,0,1,0,0,0,0,0,12,8,0
0,0,10,11,8,0,0,0,5,0,0,0,0,0
0,0,1,0,2,1,0,0,0,0,0,6,26,14
0,0,0,0,7,0,0,0,3,1,3,0,0,16
0,0,0,0,8,0,0,0,0,0,15,0,0,0
0,0,2,1,0,0,0,0,0,0,6,0,0,24
6,0,0,0,6,0,0,0,2,0,0,0,0,16
0,5,6,4,0,0,0,0,2,2,0,0,3,25
0,0,0,0,0,1,0,0,6,1,0,0,10,0
0,0,0,0,2,0,0,0,0,0,0,0,0,25
0,1,0,0,0,0,0,0,0,19,0,4,3,19
0,0,2,3,23,0,0,0,0,3,0,0,8,0
0,0,0,1,19,0,0,0,5,0,0,6,27,0
0,0,0,0,2,5,0,0,0,0,0,12,1,3
0,0,0,0,18,2,0,0,2,0,10,0,0,0
0,0,0,2,0,0,0,0,0,0,1,0,0,0
0,0,3,3,4,0,0,0,0,3,0,0,0,0
0,0,5,7,17,0,0,0,0,6,0,0,8,25
0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,18,0,0,0,0,0,3,0,0,11
1,0,0,0,0,3,0,0,0,0,0,18,12,3
3,0,1,5,9,0,0,0,0,5,0,0,0,24
0,0,0,25,10,0,0,0,4,0,0,12,15,3
2,0,1,24,5,5,0,0,1,0,0,13,0,0
0,3,4,14,3,6,0,0,0,0,0,12,0,5
0,0,4,0,10,5,0,0,0,0,0,9,5,34
0,0,0,0,21,4,0,0,0,0,0,0,10,23
0,0,11,0,11,0,0,0,0,0,0,0,0,0
0,0,8,0,0,6,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,0,0,0,1,10,0,0
0,0,0,13,0,0,1,0,8,3,0,0,0,0
0,0,0,9,0,0,0,0,0,0,0,3,4,0
0,3,1,1,0,0,0,0,0,0,0,0,0,12
0,0,1,0,4,0,0,0,4,0,0,0,0,0
0,0,1,11,6,0,0,0,1,0,0,0,0,4
0,6,0,0,10,0,0,0,0,4,0,0,0,2
0,0,4,0,13,2,0,0,12,0,10,0,0,0
3,0,0,0,0,0,0,0,4,0,8,0,0,17
0,0,0,0,0,0,0,0,0,0,0,1,15,0
0,0,0,14,1,2,0,0,0,1,1,2,12,3
0,0,4,21,8,0,0,3,0,0,0,3,17,1
0,0,3,21,0,1,0,0,0,0,0,0,2,1
1,0,3,0,3,0,0,0,6,2,9,0,8,0
7,0,0,0,4,3,0,0,0,1,0,0,0,0
0,0,0,2,8,5,0,0,0,0,0,0,0,0
0,0,0,5,0,0,0,0,0,0,0,0,1,5
0,0,0,3,6,0,0,0,0,0,0,0,0,16
0,0,0,5,4,0,0,0,0,6,0,0,16,7
0,0,5,9,0,0,2,0,0,0,0,0,19,15
0,0,7,0,7,0,0,0,0,0,0,10,0,0
0,0,0,9,8,0,0,0,0,0,0,0,3,11
0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,2,4,0,0,0,0,0,2,0,0,2,6
0,0,4,0,0,0,0,0,0,0,6,2,0,0
0,0,1,0,2,0,0,2,0,0,0,0,6,0
0,0,0,5,31,0,0,0,2,0,0,0,0,0
3,0,3,0,0,1,0,0,1,0,5,5,0,0
